acc_x,speed_x_km,time,acc_y,speed_y_km,speed
1.713505,-38.1910,224,-0.028141081,-141.5595,147
1.3556476,-38.1910,224,1.2805146,-141.5595,147
-0.9338046,-41.5527,225,0.029154837,-141.4545,147
1.1206319,-41.5527,225,1.0714419,-141.4545,147
0.6608403,-39.1737,226,-0.6651218,-143.8489,149
-0.011338949,-39.2145,227,-0.684665,-146.3137,151
0.32004356,-39.2145,227,-0.26169434,-146.3137,151
0.60532546,-37.0354,228,-1.28051,-150.9236,155
-0.428015,-37.0354,228,-2.0149198,-150.9236,155
-0.25736928,-37.9619,229,-1.2094213,-155.2775,160
-0.20129752,-37.9619,229,-1.7067463,-155.2775,160
0.38708067,-36.5684,230,-2.1185508,-162.9043,167
0.5166975,-36.5684,230,0.5328063,-162.9043,167
0.55898356,-34.5561,231,0.42357558,-161.3794,165
-0.039466262,-34.5561,231,0.7569465,-161.3794,165
-0.33746028,-35.7709,232,0.38355246,-159.9986,164
0.06344211,-35.7709,232,0.1925526,-159.9986,164
-0.49068975,-37.5374,233,-1.0462071,-163.7650,168
0.73451746,-34.8931,234,-2.0799248,-171.2527,175
1.3216064,-34.8931,234,-0.1506557,-171.2527,175
0.59600735,-32.7475,235,-0.44267982,-172.8463,176
0.90113163,-32.7475,235,0.565469,-172.8463,176
0.38802743,-31.3506,236,-0.41407514,-174.3370,177
0.18603921,-31.3506,236,0.35526097,-174.3370,177
-0.36305606,-32.6576,237,0.2895689,-173.2946,176
0.034107685,-32.6576,237,-0.95560366,-173.2946,176
-0.34906828,-33.9143,238,-0.35589623,-174.5758,178
0.28119552,-33.9143,238,0.2052249,-174.5758,178
-0.18902373,-34.5947,239,-1.0022085,-178.1837,182
0.17412496,-33.9679,240,0.13166136,-177.7098,181
0.57449794,-33.9679,240,-0.25434473,-177.7098,181
1.2540033,-29.4535,241,0.59898734,-175.5534,178
1.4042923,-29.4535,241,0.011433676,-175.5534,178
0.84982204,-26.3941,242,-0.669954,-177.9652,180
-0.22966409,-26.3941,242,1.3268777,-177.9652,180
-1.180285,-30.6431,243,0.3205941,-176.8111,179
-0.5706976,-30.6431,243,-0.27938688,-176.8111,179
