acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label,timestamp
-0.3019601,-46.2527,188,-0.038541183,-24.5663,52,0,3581817
-0.02288413,-46.3350,189,0.58363044,-22.4652,51,0,3581818
0.23692632,-45.4821,190,-0.276865,-23.4619,51,0,3581819
0.3152976,-45.4821,190,0.75909173,-23.4619,51,0,3581819
-1.2082562,-49.8318,191,-0.8495319,-26.5202,56,0,3581820
-0.1164335,-49.8318,191,-0.51976025,-26.5202,56,0,3581820
0.36252725,-48.5267,192,-0.053932965,-26.7144,55,0,3581821
-0.20261514,-48.5267,192,0.7779546,-26.7144,55,0,3581821
0.009883523,-48.4912,193,0.14232087,-26.2020,55,0,3581822
0.3690449,-48.4912,193,-0.48629326,-26.2020,55,0,3581822
-0.18870294,-49.1705,194,0.5075295,-24.3749,55,0,3581823
0.62333333,-49.1705,194,0.075092286,-24.3749,55,0,3581823
0.91260767,-45.8851,195,0.9850935,-20.8286,50,0,3581824
0.32245183,-45.8851,195,1.2059914,-20.8286,50,0,3581824
-1.1045842,-49.8616,196,-0.24214703,-21.7003,54,0,3581825
0.8107977,-46.9427,197,-0.51081455,-23.5393,53,0,3581826
-0.7530563,-46.9427,197,-0.2903283,-23.5393,53,0,3581826
-0.7432684,-49.6185,198,-1.4607712,-28.7980,57,0,3581827
0.001846314,-49.6185,198,-0.7699849,-28.7980,57,0,3581827
-0.379192,-50.9836,199,0.21507338,-28.0238,58,0,3581828
-0.3473251,-50.9836,199,0.0853177,-28.0238,58,0,3581828
-0.6498811,-53.3232,200,-0.61566293,-30.2402,61,0,3581829
0.495327,-53.3232,200,1.4617133,-30.2402,61,0,3581829
-0.50986385,-55.1587,201,-0.6987827,-32.7558,64,0,3581830
0.37059164,-55.1587,201,0.26664853,-32.7558,64,0,3581830
-0.6360992,-57.4486,202,-0.07805019,-33.0368,66,0,3581831
0.19709587,-56.7391,203,0.24788718,-32.1444,65,0,3581832
-0.77271616,-56.7391,203,-0.9636922,-32.1444,65,0,3581832
0.6578007,-54.3710,204,-0.9359663,-35.5138,65,0,3581833
-1.4319603,-54.3710,204,-1.3797793,-35.5138,65,0,3581833
-0.020103335,-54.4434,205,-0.618818,-37.7416,66,0,3581834
1.2799386,-54.4434,205,0.52942693,-37.7416,66,0,3581834
0.2112279,-53.6829,206,0.013407722,-37.6933,66,0,3581835
-0.72290814,-53.6829,206,0.13029355,-37.6933,66,0,3581835
-0.28149903,-54.6963,207,-0.60329264,-39.8652,68,0,3581836
-0.32566845,-54.6963,207,0.43022498,-39.8652,68,0,3581836
0.000631094,-54.6941,208,0.39010757,-38.4608,67,0,3581837
1.2975018,-54.6941,208,0.03899914,-38.4608,67,0,3581837
-0.64859545,-57.0290,209,0.6222975,-36.2205,68,0,3581838
0.8033004,-54.1371,210,-0.20223112,-36.9485,66,0,3581839
-0.5593376,-54.1371,210,0.5207645,-36.9485,66,0,3581839
0.30440903,-53.0413,211,0.46616894,-35.2703,64,0,3581840
-0.00793457,-53.0413,211,0.005592048,-35.2703,64,0,3581840
-0.36268735,-54.3469,212,0.041207254,-35.1220,65,0,3581841
-0.28960586,-54.3469,212,0.5059523,-35.1220,65,0,3581841
-0.88945293,-57.5490,213,-0.83640265,-38.1330,69,0,3581842
0.68453455,-57.5490,213,0.28842375,-38.1330,69,0,3581842
2.5089524,-48.5167,214,1.812119,-31.6094,58,0,3581843
0.78901875,-48.5167,214,1.1138936,-31.6094,58,0,3581843
0.29153407,-47.4672,215,0.10000637,-31.2494,57,0,3581844
0.7734021,-47.4672,215,0.6709324,-31.2494,57,0,3581844
